id	State	Area_Name	rate
01001	AL	Autauga County	12.7
01003	AL	Baldwin County	12.9
01005	AL	Barbour County	32.0
01007	AL	Bibb County	22.2
01009	AL	Blount County	14.7
01011	AL	Bullock County	39.6
01013	AL	Butler County	25.8
01015	AL	Calhoun County	20.0
01017	AL	Chambers County	22.4
01019	AL	Cherokee County	19.4
01021	AL	Chilton County	20.2
01023	AL	Choctaw County	24.4
01025	AL	Clarke County	22.2
01027	AL	Clay County	18.4
01029	AL	Cleburne County	18.9
01031	AL	Coffee County	16.2
01033	AL	Colbert County	18.1
01035	AL	Conecuh County	28.3
01037	AL	Coosa County	20.3
01039	AL	Covington County	22.3
01041	AL	Crenshaw County	19.9
01043	AL	Cullman County	19.4
01045	AL	Dale County	18.5
01047	AL	Dallas County	34.6
01049	AL	DeKalb County	20.6
01051	AL	Elmore County	14.0
01053	AL	Escambia County	24.4
01055	AL	Etowah County	19.0
01057	AL	Fayette County	20.4
01059	AL	Franklin County	21.1
01061	AL	Geneva County	22.4
01063	AL	Greene County	37.7
01065	AL	Hale County	28.5
01067	AL	Henry County	17.0
01069	AL	Houston County	18.3
01071	AL	Jackson County	18.4
01073	AL	Jefferson County	18.0
01075	AL	Lamar County	24.7
01077	AL	Lauderdale County	17.3
01079	AL	Lawrence County	18.7
01081	AL	Lee County	21.0
01083	AL	Limestone County	14.3
01085	AL	Lowndes County	35.2
01087	AL	Macon County	32.2
01089	AL	Madison County	13.3
01091	AL	Marengo County	23.3
01093	AL	Marion County	19.8
01095	AL	Marshall County	20.1
01097	AL	Mobile County	18.4
01099	AL	Monroe County	28.6
01101	AL	Montgomery County	22.8
01103	AL	Morgan County	16.4
01105	AL	Perry County	40.0
01107	AL	Pickens County	24.3
01109	AL	Pike County	25.9
01111	AL	Randolph County	18.7
01113	AL	Russell County	23.0
01115	AL	St. Clair County	12.4
01117	AL	Shelby County	8.5
01119	AL	Sumter County	33.2
01121	AL	Talladega County	22.4
01123	AL	Tallapoosa County	21.7
01125	AL	Tuscaloosa County	20.0
01127	AL	Walker County	20.6
01129	AL	Washington County	22.4
01131	AL	Wilcox County	33.2
01133	AL	Winston County	18.9
02013	AK	Aleutians East Borough	17.4
02016	AK	Aleutians West Census Area	8.5
02020	AK	Anchorage Borough	8.7
02050	AK	Bethel Census Area	24.2
02060	AK	Bristol Bay Borough	9.0
02068	AK	Denali Borough	6.6
02070	AK	Dillingham Census Area	20.0
02090	AK	Fairbanks North Star Borough	8.1
02100	AK	Haines Borough	10.9
02105	AK	Hoonah-Angoon Census Area	16.2
02110	AK	Juneau Borough	8.0
02122	AK	Kenai Peninsula Borough	11.4
02130	AK	Ketchikan Gateway Borough	10.3
02150	AK	Kodiak Island Borough	7.5
02158	AK	Kusilvak Census Area	31.8
02164	AK	Lake and Peninsula Borough	19.3
02170	AK	Matanuska-Susitna Borough	9.8
02180	AK	Nome Census Area	21.4
02185	AK	North Slope Borough	12.6
02188	AK	Northwest Arctic Borough	26.3
02195	AK	Petersburg Borough	7.9
02198	AK	Prince of Wales-Hyder Census Area	15.6
02220	AK	Sitka Borough	9.2
02230	AK	Skagway Municipality	3.7
02240	AK	Southeast Fairbanks Census Area	13.5
02261	AK	Valdez-Cordova Census Area	9.5
02275	AK	Wrangell City and Borough	12.0
02282	AK	Yakutat Borough	15.4
02290	AK	Yukon-Koyukuk Census Area	23.4
04001	AZ	Apache County	38.0
04003	AZ	Cochise County	16.9
04005	AZ	Coconino County	19.5
04007	AZ	Gila County	21.3
04009	AZ	Graham County	22.9
04011	AZ	Greenlee County	10.1
04012	AZ	La Paz County	22.2
04013	AZ	Maricopa County	16.3
04015	AZ	Mohave County	17.4
04017	AZ	Navajo County	28.1
04019	AZ	Pima County	18.7
04021	AZ	Pinal County	15.8
04023	AZ	Santa Cruz County	24.4
04025	AZ	Yavapai County	15.1
04027	AZ	Yuma County	21.1
05001	AR	Arkansas County	20.7
05003	AR	Ashley County	19.6
05005	AR	Baxter County	16.4
05007	AR	Benton County	10.8
05009	AR	Boone County	16.5
05011	AR	Bradley County	28.0
05013	AR	Calhoun County	16.7
05015	AR	Carroll County	16.6
05017	AR	Chicot County	31.4
05019	AR	Clark County	22.5
05021	AR	Clay County	20.8
05023	AR	Cleburne County	15.6
05025	AR	Cleveland County	18.1
05027	AR	Columbia County	23.8
05029	AR	Conway County	17.8
05031	AR	Craighead County	17.3
05033	AR	Crawford County	14.4
05035	AR	Crittenden County	25.9
05037	AR	Cross County	21.5
05039	AR	Dallas County	21.3
05041	AR	Desha County	30.9
05043	AR	Drew County	21.2
05045	AR	Faulkner County	14.8
05047	AR	Franklin County	18.2
05049	AR	Fulton County	19.4
05051	AR	Garland County	19.3
05053	AR	Grant County	13.2
05055	AR	Greene County	17.1
05057	AR	Hempstead County	24.1
05059	AR	Hot Spring County	20.8
05061	AR	Howard County	18.7
05063	AR	Independence County	18.0
05065	AR	Izard County	19.8
05067	AR	Jackson County	27.5
05069	AR	Jefferson County	26.5
05071	AR	Johnson County	21.8
05073	AR	Lafayette County	22.7
05075	AR	Lawrence County	23.7
05077	AR	Lee County	35.9
05079	AR	Lincoln County	25.1
05081	AR	Little River County	19.9
05083	AR	Logan County	20.5
05085	AR	Lonoke County	11.9
05087	AR	Madison County	18.8
05089	AR	Marion County	18.8
05091	AR	Miller County	22.3
05093	AR	Mississippi County	26.3
05095	AR	Monroe County	30.9
05097	AR	Montgomery County	21.8
05099	AR	Nevada County	24.0
05101	AR	Newton County	24.2
05103	AR	Ouachita County	22.8
05105	AR	Perry County	16.8
05107	AR	Phillips County	37.3
05109	AR	Pike County	18.5
05111	AR	Poinsett County	23.9
05113	AR	Polk County	24.4
05115	AR	Pope County	20.8
05117	AR	Prairie County	19.6
05119	AR	Pulaski County	19.4
05121	AR	Randolph County	17.6
05123	AR	St. Francis County	30.7
05125	AR	Saline County	10.7
05127	AR	Scott County	20.8
05129	AR	Searcy County	22.2
05131	AR	Sebastian County	22.1
05133	AR	Sevier County	20.8
05135	AR	Sharp County	24.6
05137	AR	Stone County	21.5
05139	AR	Union County	19.7
05141	AR	Van Buren County	19.0
05143	AR	Washington County	16.9
05145	AR	White County	19.7
05147	AR	Woodruff County	25.8
05149	AR	Yell County	17.8
06001	CA	Alameda County	11.5
06003	CA	Alpine County	19.0
06005	CA	Amador County	13.1
06007	CA	Butte County	21.4
06009	CA	Calaveras County	13.0
06011	CA	Colusa County	13.2
06013	CA	Contra Costa County	10.2
06015	CA	Del Norte County	23.3
06017	CA	El Dorado County	9.1
06019	CA	Fresno County	25.2
06021	CA	Glenn County	18.5
06023	CA	Humboldt County	20.9
06025	CA	Imperial County	24.3
06027	CA	Inyo County	12.4
06029	CA	Kern County	21.9
06031	CA	Kings County	22.4
06033	CA	Lake County	20.5
06035	CA	Lassen County	17.1
06037	CA	Los Angeles County	16.7
06039	CA	Madera County	22.6
06041	CA	Marin County	7.5
06043	CA	Mariposa County	15.2
06045	CA	Mendocino County	20.3
06047	CA	Merced County	25.9
06049	CA	Modoc County	20.3
06051	CA	Mono County	11.2
06053	CA	Monterey County	15.3
06055	CA	Napa County	10.1
06057	CA	Nevada County	12.4
06059	CA	Orange County	12.7
06061	CA	Placer County	8.6
06063	CA	Plumas County	13.8
06065	CA	Riverside County	16.2
06067	CA	Sacramento County	16.9
06069	CA	San Benito County	9.3
06071	CA	San Bernardino County	18.9
06073	CA	San Diego County	13.9
06075	CA	San Francisco County	12.4
06077	CA	San Joaquin County	17.5
06079	CA	San Luis Obispo County	14.4
06081	CA	San Mateo County	8.4
06083	CA	Santa Barbara County	15.6
06085	CA	Santa Clara County	8.3
06087	CA	Santa Cruz County	15.4
06089	CA	Shasta County	19.0
06091	CA	Sierra County	13.8
06093	CA	Siskiyou County	22.6
06095	CA	Solano County	12.0
06097	CA	Sonoma County	11.0
06099	CA	Stanislaus County	19.5
06101	CA	Sutter County	17.5
06103	CA	Tehama County	22.5
06105	CA	Trinity County	19.7
06107	CA	Tulare County	27.2
06109	CA	Tuolumne County	14.5
06111	CA	Ventura County	9.9
06113	CA	Yolo County	17.5
06115	CA	Yuba County	21.6
08001	CO	Adams County	12.8
08003	CO	Alamosa County	24.0
08005	CO	Arapahoe County	9.2
08007	CO	Archuleta County	13.1
08009	CO	Baca County	20.8
08011	CO	Bent County	36.7
08013	CO	Boulder County	12.3
