id	State	Area_Name	rate2015	rate2014	rate2013	rate2012
01001	AL	Autauga County	12.7	13.1	13.5	12.7
01003	AL	Baldwin County	12.9	13.0	14.2	13.9
01005	AL	Barbour County	32.0	25.4	28.2	29.0
01007	AL	Bibb County	22.2	18.1	23.1	21.5
01009	AL	Blount County	14.7	17.5	17.2	16.2
01011	AL	Bullock County	39.6	35.1	35.2	32.3
01013	AL	Butler County	25.8	25.0	28.8	26.3
01015	AL	Calhoun County	20.0	20.5	21.4	21.4
01017	AL	Chambers County	22.4	21.3	22.5	21.5
01019	AL	Cherokee County	19.4	18.6	20.1	19.6
01021	AL	Chilton County	20.2	18.1	20.3	20.1
01023	AL	Choctaw County	24.4	25.0	22.4	20.8
01025	AL	Clarke County	22.2	24.9	25.4	21.5
01027	AL	Clay County	18.4	19.5	19.6	19.1
01029	AL	Cleburne County	18.9	17.0	18.9	18.6
01031	AL	Coffee County	16.2	16.8	18.5	15.1
01033	AL	Colbert County	18.1	16.7	16.3	16.2
01035	AL	Conecuh County	28.3	30.6	30.5	31.3
01037	AL	Coosa County	20.3	18.8	19.9	21.0
01039	AL	Covington County	22.3	20.8	19.2	20.9
01041	AL	Crenshaw County	19.9	21.2	22.2	20.1
01043	AL	Cullman County	19.4	17.2	16.4	18.7
01045	AL	Dale County	18.5	22.4	20.1	19.1
01047	AL	Dallas County	34.6	35.2	31.3	36.8
01049	AL	DeKalb County	20.6	24.0	20.0	18.1
01051	AL	Elmore County	14.0	14.4	13.4	13.8
01053	AL	Escambia County	24.4	25.1	27.8	27.9
01055	AL	Etowah County	19.0	19.0	19.6	21.0
01057	AL	Fayette County	20.4	20.6	20.7	17.6
01059	AL	Franklin County	21.1	23.1	23.1	19.5
01061	AL	Geneva County	22.4	23.9	23.6	22.8
01063	AL	Greene County	37.7	33.2	35.0	34.1
01065	AL	Hale County	28.5	28.1	25.7	27.9
01067	AL	Henry County	17.0	17.3	18.2	19.2
01069	AL	Houston County	18.3	20.1	18.1	19.0
01071	AL	Jackson County	18.4	22.0	16.9	16.4
01073	AL	Jefferson County	18.0	19.5	18.9	18.6
01075	AL	Lamar County	24.7	20.6	23.0	22.5
01077	AL	Lauderdale County	17.3	18.7	17.1	20.2
01079	AL	Lawrence County	18.7	16.6	17.4	20.0
01081	AL	Lee County	21.0	25.2	19.8	23.0
01083	AL	Limestone County	14.3	13.6	15.9	12.8
01085	AL	Lowndes County	35.2	31.4	37.0	26.6
01087	AL	Macon County	32.2	32.1	33.8	33.1
01089	AL	Madison County	13.3	14.2	13.9	12.6
01091	AL	Marengo County	23.3	25.6	31.5	26.5
01093	AL	Marion County	19.8	20.2	20.8	22.2
01095	AL	Marshall County	20.1	22.0	18.1	21.5
01097	AL	Mobile County	18.4	19.6	20.3	21.0
01099	AL	Monroe County	28.6	25.3	29.7	21.1
01101	AL	Montgomery County	22.8	22.5	22.1	21.7
01103	AL	Morgan County	16.4	15.0	17.4	16.2
01105	AL	Perry County	40.0	46.9	36.4	36.6
01107	AL	Pickens County	24.3	25.0	23.8	23.4
01109	AL	Pike County	25.9	26.4	25.3	26.7
01111	AL	Randolph County	18.7	20.4	23.4	22.8
01113	AL	Russell County	23.0	20.9	23.9	23.6
01115	AL	St. Clair County	12.4	14.3	14.0	15.8
01117	AL	Shelby County	8.5	9.6	8.3	8.7
01119	AL	Sumter County	33.2	38.1	38.0	36.5
01121	AL	Talladega County	22.4	22.5	19.8	23.3
01123	AL	Tallapoosa County	21.7	21.3	22.2	23.5
01125	AL	Tuscaloosa County	20.0	18.0	17.2	19.5
01127	AL	Walker County	20.6	23.5	22.0	21.0
01129	AL	Washington County	22.4	18.5	19.7	21.0
01131	AL	Wilcox County	33.2	33.7	32.4	36.5
01133	AL	Winston County	18.9	20.1	21.9	26.4
02013	AK	Aleutians East Borough	17.4	16.2	15.2	15.7
02016	AK	Aleutians West Census Area	8.5	9.9	8.1	9.3
02020	AK	Anchorage Borough	8.7	10.0	7.7	9.0
02050	AK	Bethel Census Area	24.2	23.8	25.1	27.6
02060	AK	Bristol Bay Borough	9.0	9.5	9.5	9.3
02068	AK	Denali Borough	6.6	7.1	5.4	6.2
02070	AK	Dillingham Census Area	20.0	17.5	20.9	20.7
